,popularity,director,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit_adj,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,release_month,runtime_levels
0,32.985763,Colin Trevorrow,124,2015-06-09,5562,6.5,2015,137999939.280026,1392445892.5238,1254445953.243774,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,June,very long
1,28.419936,George Miller,120,2015-05-13,6185,7.1,2015,137999939.280026,348161292.489031,210161353.20900503,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,May,very long
2,13.112507,Robert Schwentke,119,2015-03-18,2480,6.3,2015,101199955.472019,271619025.407628,170419069.93560898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,March,very long
3,11.173104,J.J. Abrams,136,2015-12-15,5292,7.5,2015,183999919.040035,1902723129.80182,1718723210.761785,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,December,very long
4,9.335014,James Wan,137,2015-04-01,2947,7.3,2015,174799923.088033,1385748801.47052,1210948878.382487,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,April,very long
5,9.1107,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,2015-12-25,3929,7.2,2015,124199945.352024,490314247.021731,366114301.669707,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,December,very long
6,8.654359,Alan Taylor,125,2015-06-23,2598,5.8,2015,142599937.256027,405355075.683766,262755138.427739,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,June,very long
7,7.6674,Ridley Scott,141,2015-09-30,4572,7.6,2015,99359956.2816192,547749654.310152,448389698.02853286,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,September,very long
8,7.40416499999999,Kyle Balda|Pierre Coffin,91,2015-06-17,2893,6.5,2015,68079970.0448131,1064192016.79551,996112046.7506969,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,June,normal
9,6.326804,Pete Docter,94,2015-06-09,3935,8.0,2015,160999929.160031,785411574.698907,624411645.538876,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,June,normal
10,6.200282,Sam Mendes,148,2015-10-26,3254,6.2,2015,225399900.824043,810220283.783075,584820382.9590319,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October,very long
11,6.189369,Lana Wachowski|Lilly Wachowski,124,2015-02-04,1937,5.2,2015,161919931.51523,169268630.681802,7348699.166572005,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,February,very long
12,6.118847,Alex Garland,108,2015-01-21,2854,7.6,2015,13799993.9280026,33919845.9552677,20119852.027265098,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,January,long
13,5.984995,Chris Columbus,105,2015-07-16,1575,5.8,2015,80959964.3776156,224146025.095748,143186060.7181324,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,July,long
14,5.944927,Joss Whedon,141,2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177,1035032450.2257209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,April,very long
